LID,ISO639.3,language,alt.language.name,language.search,lsbranch,ssbranch,sbranch,mbranch,stock,alt.stock.name,stock.search,longitude,latitude,area,continent
327,pwn,Paiwan,Paiwan,"Paiwan, Paiwan",,,,Paiwanic,Austronesian,,Austronesian,120.83,22.5,Southeast Asia,S/SE Asia
48,cha,Chamorro,Chamorro,"Chamorro, Chamorro",,,,Malayo-Polynesian,Austronesian,,Austronesian,144.75,13.45,Oceania,NG and Oceania
362,tgl,Tagalog,Tagalog,"Tagalog, Tagalog",,,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,121,15,Oceania,S/SE Asia
384,bhq,Tukang Besi,Tukang Besi,"Tukang Besi, Tukang Besi",,,Western Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,123.5,-5.5,Oceania,NG and Oceania
39,mhs,Buru,Buru,"Buru, Buru",West (Central Maluku),Central Maluku,Central Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,126.5,-3.5,Oceania,NG and Oceania
157,slp,Lamaholot,"Lamaholot; Solor, Solorese","Lamaholot, Lamaholot; Solor, Solorese",Flores-Lembata,Timor,Central Malayo-Polynesian non-clade,Malayo-Polynesian,Austronesian,,Austronesian,122.92,-8.25,Oceania,NG and Oceania
381,ksd,Tolai,"Tolai, Kuanua, Raluana, Tuna","Tolai, Tolai, Kuanua, Raluana, Tuna",Meso-Melanesian linkage,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,152.08,-4.25,N Coast New Guinea,NG and Oceania
70,dhv,Drehu,Drehu,"Drehu, Drehu",Southern Melanesian,Southern Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,167.25,-21,Oceania,NG and Oceania
368,tbo,Tawala,Tawala,"Tawala, Tawala",Papuan Tip,Western Oceanic linkage,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,150.67,-10.33,S New Guinea,NG and Oceania
334,pon,Ponapean,Ponapean,"Ponapean, Ponapean",,Micronesian,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,158.25,6.88,Oceania,NG and Oceania
77,fij,Fijian (Boumaa),Fijian (Boumaa),"Fijian (Boumaa), Fijian (Boumaa)",,Central Pacific,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,178,-18,Oceania,NG and Oceania
346,smo,Samoan,Samoan,"Samoan, Samoan",Eastern Fijian-Polynesian linkage,Central Pacific,Oceanic,Malayo-Polynesian,Austronesian,,Austronesian,171.83,-13.92,Oceania,NG and Oceania
146,kvd,Kui (Indonesia),"Kui (Indonesia) , Lerabain , Masin-Lak","Kui (Indonesia), Kui (Indonesia) , Lerabain , Masin-Lak",,,Alor,Alor-Pantar,Timor-Alor-Pantar,West Timor-Alor-Pantar,"Timor-Alor-Pantar, West Timor-Alor-Pantar",124,-8.3,Oceania,NG and Oceania
343,saj,Sahu,Sahu,"Sahu, Sahu",,,,North Halmaheran,West Papuan,,West Papuan,127.5,1.17,Oceania,NG and Oceania
364,tpg; swt,Tanglapui,Tanglapui,"Tanglapui, Tanglapui",,,,,Tanglapui,,Tanglapui,125,-8.2,Oceania,NG and Oceania
62,dmy,Demta,Demta,"Demta, (Demta)",,,,,Sentani,,Sentani,140.13,-2.33,N Coast New Guinea,NG and Oceania
61,dni,Dani (Lower Grand Valley),Dani (Lower Grand Valley),"Dani (Lower Grand Valley), Dani (Lower Grand Valley)",,,,,Dani,,Dani,138.83,-4.33,Interior New Guinea,NG and Oceania
415,,retire_Yali,Yali,"retire_Yali, Yali",,,,,Mek,,Mek,139.33,-4.1,Interior New Guinea,NG and Oceania
130,kew,Kewa,Kewa,"Kewa, Kewa",,,,Angal-Kewa,Engan-Kewa,,Engan-Kewa,143.83,-6.5,Interior New Guinea,NG and Oceania
410,wiu,Wiru,Wiru,"Wiru, Wiru",,,,,Wiru,,Wiru,140.16,-6.5,S New Guinea,NG and Oceania
345,sll,Salt-Yui,"Salt-Yui , Salt , Salt-Iui","Salt-Yui, Salt-Yui , Salt , Salt-Iui",,,,Chimbu,Chimbu-Wahgi,,Chimbu-Wahgi,145.03,-6.28,Interior New Guinea,NG and Oceania
103,ygr,Hua,"Hua , Huva, Yagaria, Kami-Kulaka, Move, Ologuti, Dagenava, Kamate, Hira, Hua (Huva), Kotom","Hua, Hua , Huva, Yagaria, Kami-Kulaka, Move, Ologuti, Dagenava, Kamate, Hira, Hua (Huva), Kotom",,,Kamano-Yagaria,Gorokan,Eastern Highlands,,Eastern Highlands,145.42,-6.33,Interior New Guinea,NG and Oceania
