ID,Name,Parameter,Language,Frequency,Confidence,References
ids-275-15-760-1,kiasaa,ROUGH,Ese Ejja (Huarayo),,,
ids-63-15-760-2,kiepi,ROUGH,Budukh,,,
ids-63-15-760-1,kievi,ROUGH,Budukh,,,
ids-508-15-760-2,kikal,ROUGH,Dargwa (Megeb dialect),,,
marrisonnaga-Mikir-617_rough-1,kindeng,ROUGH,Mikir,,,
ids-304-15-760-1,kixe,ROUGH,Chorote,,,
ids-836-15-760-1,kkrih,ROUGH,Surin Khmer,,,
ids-71-15-760-1,kobut,ROUGH,Azerbaijani,,,
ids-70-15-760-1,kobutun,ROUGH,Tsakhur,,,
lexirumah-west2547-welaun-rough-1,kokar,ROUGH,Welaun,,,
lexirumah-pura1258-rough-1,kongkar,ROUGH,"Blagar, Pura",,,
lexirumah-blag1240-nule-rough-1,kongkarkongkar,ROUGH,"Blagar, Nule",,,
robinsonap-blagar-235_rough-1,kongkarkongkar,ROUGH,Blagar,,,
ids-318-15-760-1,koni,ROUGH,Uncunwee,,,
lexirumah-lamm1241-westp-rough-2,kora,ROUGH,Tubbe,,,
ids-290-15-760-1,koroco,ROUGH,Guaraní,,,
lexirumah-blag1240-manat-rough-1,korotang,ROUGH,"Blagar, Manatang",,,
lexirumah-kaer1234-rough-1,kotang,ROUGH,Kaera,,,
marrisonnaga-Mao-617_rough-1,kotho,ROUGH,Mao,,,
ids-147-15-760-1,koz@ra,ROUGH,Mari,,,
lexirumah-blag1240-kulij-rough-1,kraki,ROUGH,"Blagar, Kulijahi",,,
marrisonnaga-WrittenBurmese-617_rough-1,kram,ROUGH,Burmese (Written),,,
lexirumah-seba1248-rough-2,k@ri,ROUGH,"Hawu, Seba",,,
lexirumah-alor1247-buaya-rough-1,k@ro,ROUGH,"Alorese, Buaya",,,
lexirumah-naue1237-rough-1,kroki,ROUGH,Naueti,,,
wold-Kanuri-1038_rough1-1,k@rsasa,ROUGH,Kanuri,,,
ids-215-15-760-1,kse,ROUGH,Ancient Aramaic,,,
ids-518-15-760-1,kubud,ROUGH,Kryz,,,
ids-63-15-760-3,kubud,ROUGH,Budukh,,,
ids-68-15-760-2,kubut,ROUGH,Tabasaran (Southern dialect),,,
ids-69-15-760-1,kubut,ROUGH,Khinalug,,,
ids-529-15-760-1,kubutdy,ROUGH,Rutul (Mukhrek) dialect,,,
