"*g̑énh₁-ti- / *g̑n̥h₁-téi-","‘origin, birth, genesis, tribe, clan, kind’ [f. | prot.] : IIr Gk It Gm | *g̑enh₁"
"?*g̑énh₁-tu- / ?? *g̑n̥h₁‑téu‑","‘from birth, inborn, innate’ [adj.] : Ind It | *g̑enh₁"
"*g̑énh₁-tu- / *g̑n̥h₁-téu-","‘act of producing; person, people, generation, district’ [m. | prot.] : IIr | *g̑enh₁"
"*g̑ónh₁-o-","‘creature, being, person, people, nation, descendants’ [m. | acro.] : IIr Gk | *g̑enh₁"
"*g̑n̥h₁-tó-","‘born; ↪︎son, daughter’ [adj. | meso.] : IIr Gk It Gm | *g̑enh₁"
"*g̑énh₁-to-","‘creation, generation; child’ [sb.] : IIr It Gm | *g̑enh₁"
"*g̑enh₁-e-teh₂","‘birth, generation; daughter’ [f.] : Ind Celt | *g̑enh₁"
"*g̑énh₁-tRo-","‘origin, homeland, birth’ [nt. | acro.] : IIr | *g̑enh₁"
"*g̑néh₃-mn̥","‘distinguishing mark, label, name; banner; opinion’ [nt.] : Gk Sl | *g̑neh₃"
"*g̑neh₃-tér","‘acquaintance; guarantor’ [m.] : IIr | *g̑neh₃"
"*g̑néh₃-ti- / **g̑nh₃-téi-","‘awareness, knowledge’ [f. | prot.] : Gk It Gm | *g̑neh₃"
"*g̑néh₃-tlo-","‘identifier; proclamation’ [nt. | acro.] : Ind It Gm | *g̑neh₃"
"*g̑neh₃-tó-","‘known, recognized’ [adj. | meso.] : Ind Gk It T | *g̑neh₃"
"*g̑n̥h₃-tó-","‘known, recognized, customary; relative, acquaintance’ [adj. | meso.] : Gk It Celt Gm Balt | *g̑neh₃"
"*g̑néh₃-no-","‘recognizable, known; ↪︎knowledge’ [adj.] : Ind | *g̑neh₃"
"*g̑ʰi⸰m-ó-","‘cold, wintry; ↪︎ winter, frost’ [adj. | meso.] : IIr Arm T | *g̑ʰei⁃om"
"*g̑ʰéi⸰m-eh₂","‘winter’ [f. | acro.] : BSl | *g̑ʰei⁃om"
"*g̑ʰés-or / *g̑ʰés-r-","‘hand’ [mf. | acro. ?] : Anat Gk Arm T Alb | *g̑ʰes"
"*g̑ʰos-to-","‘hand’ [m.] : IIr | *g̑ʰes"
"*gʰos⸰ti-","‘foreigner, guest’ [m.] : It Gm Sl | *gʰos⁃ti"
"*gʷéh₂-mn̥","‘step n.’ [nt.] : Iran Gk | *gʷeh₂"
"*-gʷh₂-u-","‘stepping, going (in cpds.)’ [adj.] : Ind | *gʷeh₂"
"*gʷéh₂-tu- / *gʷh₂-téu-","‘motion, way, channel’ [m. | prot.] : IIr | *gʷeh₂"
"*gʷh₂-tó-","‘dead (< ‘gone away’); ↪︎ death’ [adj. | meso.] : Celt | *gʷeh₂"
"*gʷem-tor- ; *gʷem‑tōr (← *‑tor‑s)","‘one who comes or goes’ [m.] : Ind It | *gʷem"
"*gʷém-tu- / *gʷm̥-téu-","‘going, movement, run’ [m. | ? prot.] : Ind It Celt Balt | *gʷem"
"*gʷm̥-tó-","‘gone, away; come, arrived, born’ [adj. | meso.] : IIr Gk It Balt | *gʷem"
